guesses,green_expected,yellow_expected
aahed,0.384017279,0.817710583
aalii,0.312742981,0.679049676
aargh,0.355075594,0.72224622
aarti,0.32699784,1.02462203
abaca,0.293736501,0.437580994
abaci,0.270842333,0.739956803
abacs,0.281641469,0.716198704
abaft,0.324838013,0.590064795
abaka,0.251835853,0.373218143
abamp,0.25399568,0.561987041
aband,0.330021598,0.605183585
abash,0.333909287,0.63412527
abask,0.322678186,0.568898488
abaya,0.22937365,0.488552916
abbas,0.178401728,0.631533477
abbed,0.280777538,0.847948164
abbes,0.245356371,0.990064795
abcee,0.412095032,0.819006479
abeam,0.232829374,0.889416847
abear,0.306263499,1.048812095
abele,0.396976242,0.920086393
abers,0.225485961,1.36587473
abets,0.21987041,1.298056156
abies,0.335637149,1.173650108
abler,0.344708423,1.259611231
ables,0.268682505,1.240604752
ablet,0.362419006,1.168466523
ablow,0.18012959,0.981425486
abmho,0.131317495,0.959395248
abohm,0.203455724,0.887257019
aboil,0.308855292,1.04838013
aboma,0.230237581,0.72699784
aboon,0.286393089,0.784449244
abord,0.289848812,1.029805616
abore,0.421598272,1.193952484
abram,0.226781857,0.801295896
abray,0.36587473,0.713606911
abrim,0.22462203,1.052699784
abrin,0.262634989,1.123542117
abris,0.222030238,1.193088553
absey,0.396976242,1.012958963
absit,0.279913607,1.061771058
abuna,0.245356371,0.727429806
abune,0.400431965,0.997840173
abuts,0.214686825,1.044924406
abuzz,0.149460043,0.572786177
abyes,0.233261339,1.176673866
abysm,0.171922246,0.911015119
acais,0.294600432,0.867386609
acari,0.281209503,0.975809935
accas,0.188336933,0.706695464
accoy,0.31663067,0.752483801
acerb,0.225053996,1.293304536
acers,0.235853132,1.433693305
aceta,0.242332613,1.1174946
achar,0.244060475,0.897192225
ached,0.270410367,1.094600432
aches,0.234989201,1.236717063
achoo,0.164146868,0.911015119
acids,0.238444924,1.053131749
acidy,0.38012959,0.825053996
acing,0.289416847,0.942980562
acini,0.276457883,0.836717063
ackee,0.403455724,0.799568035
